Unforgotten|7.9
Curious George|6.6
Herbie Fully Loaded|4.7
Don't Say a Word|6.3
Hansel & Gretel: Witch Hunters|6.1
Unfaithful|6.7
I Am Number Four|6.1
Syriana|7.0
13 Hours|7.4
The Book of Life|7.3
Firewall|5.8
Absolute Power|6.7
G.I. Jane|5.8
The Game|7.8
Silent Hill|6.6
The Replacements|6.5
American Reunion|6.7
The Negotiator|7.3
Into the Storm|5.8
Beverly Hills Cop III|5.5
Gremlins 2: The New Batch|6.3
The Judge|7.4
The Peacemaker|5.9
Resident Evil: Apocalypse|6.2
Bridget Jones: The Edge of Reason|5.9
Out of Time|6.5
On Deadly Ground|4.4
The Adventures of Sharkboy and Lavagirl 3-D|3.5
The Beach|6.6
Raising Helen|6.0
Ninja Assassin|6.4
For Love of the Game|6.5
A Touch of Frost|7.8
Striptease|4.3
Marmaduke|4.2
Hereafter|6.5
Murder by Numbers|6.1
Assassins|6.3
Hannibal Rising|6.2
The Story of Us|5.9
The Host|5.9
Basic|6.5
Blood Work|6.4
The International|6.5
Escape from L.A.|5.7
Twisted|7.5
The Iron Giant|8.0
The Life Aquatic with Steve Zissou|7.3
Free State of Jones|6.7
The Life of David Gale|7.5
Man of the House|5.4
Run All Night|6.6
Eastern Promises|7.7
Into the Blue|5.8
The Messenger: The Story of Joan of Arc|6.4
Your Highness|5.6
Dream House|6.0
Mad City|6.2
Baby's Day Out|5.9
The Scarlet Letter|5.1
Fair Game|6.8
Defiance|7.0
Domino|6.0
Jade|5.1
Gamer|5.8
Beautiful Creatures|6.2
Death to Smoochy|6.4
Zoolander 2|4.8
The Big Bounce|4.9
What Planet Are You From?|5.6
Drive Angry|5.5
Street Fighter: The Legend of Chun-Li|3.7
The One|5.9
Outlander|8.5
The Adventures of Ford Fairlane|6.3
Pirate Radio|7.4
Traffic|7.6
Indiana Jones and the Last Crusade|8.3
Anna Karenina|6.6
Chappie|6.9
The Bone Collector|6.7
Panic Room|6.8
The Tooth Fairy|4.6
Three Kings|7.1
Child 44|6.4
Rat Race|6.4
K-PAX|7.4
Kate & Leopold|6.4
Bedazzled|6.0
The Cotton Club|6.5
3:10 to Yuma|7.8
Taken 3|6.0
Out of Sight|7.0
The Cable Guy|6.0
Earth|7.8
Dick Tracy|6.1
The Thomas Crown Affair|6.8
Riding in Cars with Boys|6.4
First Blood|7.7
Solaris|8.1
Happily N'Ever After|4.5
Mary Reilly|5.8
My Best Friend's Wedding|6.3
America's Sweethearts|5.7
Insomnia|7.2
Star Trek: First Contact|7.6
Jonah Hex|4.7
Courage Under Fire|6.6
Liar Liar|6.8
The Infiltrator|7.3
Inchon|2.7
The Flintstones|4.8
Taken 2|6.3
Scary Movie 3|5.5
Miss Congeniality|6.2
Journey to the Center of the Earth|5.8
The Princess Diaries 2: Royal Engagement|5.7
The Pelican Brief|6.5
The Client|6.7
The Bucket List|7.4
Patriot Games|6.9
Monster-in-Law|5.5
Prisoners|8.1
Training Day|7.7
Galaxy Quest|7.3
Scary Movie 2|5.2
